"club","wage_total","value_total"
"Unión de Santa Fe","184000","45375000"
"Karlsruher SC","199000","45310000"
"Frosinone","62000","45050000"
"SK Brann","153000","44600000"
"Blackburn Rovers","291000","43645000"
"Benevento","78000","43615000"
"SV Waldhof Mannheim","135000","43515000"
"Al Shabab","412000","43360000"
"Oita Trinita","127000","43355000"
"FC Lorient","95000","43000000"
"Livorno","114000","42800000"
"Sint-Truidense VV","158000","42700000"
"Houston Dynamo","112000","42645000"
"Jaguares de Córdoba","227000","42495000"
"Kashima Antlers","141000","42370000"
"Çaykur Rizespor","149000","42240000"
"Club Atlético Huracán","180000","42220000"
"AJ Auxerre","120000","42195000"
"Kasimpaşa SK","186000","42140000"
"KAS Eupen","139000","41610000"
"Hibernian","193000","41465000"
"FC Tokyo","151000","40640000"
"Brøndby IF","198000","40510000"
"Montreal Impact","88000","40455000"
"Forest Green Rovers","292000","39955000"
"Sagan Tosu","112000","39765000"
"Tianjin TEDA FC","138000","39710000"
"Holstein Kiel","170000","39705000"
"SpVgg Greuther Fürth","196000","39705000"
"Bahia","148000","39565000"
"LASK Linz","137000","39505000"
"Goiás","148000","39380000"
"Rotherham United","225000","39245000"
"Yokohama F. Marinos","102000","39085000"
"Crotone","84000","39005000"
"Famalicão","94000","38850000"
"FC Groningen","90000","38280000"
"Paris FC","167000","38100000"
"CD Mirandés","149000","38090000"
"FC Bayern M��nchen","135000","38000000"
"FC Sion","271000","37795000"
"FC Lugano","113000","37765000"
"UD Las Palmas","140000","37675000"
"Elche CF","120000","37660000"
"DSC Arminia Bielefeld","180000","37590000"
"SK Sturm Graz","212000","37060000"
"Legia Warszawa","123000","36400000"
"Sivasspor","168000","36165000"
"FC St. Pauli","200000","36080000"
"Vissel Kobe","106000","35780000"
"CFR Cluj","167000","35690000"
"Al Wehda","223000","35585000"
"Shenzhen FC","124000","35365000"
"1. FC Heidenheim 1846","155000","34560000"
"SK Rapid Wien","166000","34445000"
"Denizlispor","276000","34315000"
"Doncaster Rovers","222000","34275000"
"Peterborough United","328000","34155000"
"Mjøndalen IF","120000","34070000"
"Molde FK","81000","33930000"
"Hokkaido Consadole Sapporo","60000","33920000"
"FC Emmen","92000","33800000"
"SG Dynamo Dresden","201000","33655000"
"Independiente Santa Fe","134000","33650000"
"Jeonbuk Hyundai Motors","136000","33480000"
